idpozo,idempresa,empresa,cuenca,provincia,formacion,tipo_de_recurso,n_meses,prod_pet_annual
96959,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,544.64
96962,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,9,72.33
96963,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,57.45393
96963,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,327.33
96964,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,33.35462
96964,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,278.65999999999997
96966,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,32.79753
96966,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,288.56
96967,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,0.0
96967,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,10,104.34
96970,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,12.98655
96970,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,176.78
96971,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,32.76564
96971,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,403.74
96972,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,69.55348
96972,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,1115.24
96973,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,27.41812
96973,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,10,254.1
96974,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,12.47439
96974,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,135.0
96976,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,18.33266
96976,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,10,361.58
96977,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,4,64.52
96978,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,43.68432
96978,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,332.18
96979,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,11.79206
96979,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,134.41
96984,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,3.138128
96984,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,33.22
96985,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,1.543827
96985,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,141.79
96986,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,32.82268
96986,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,460.62
96987,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,38.9866
96987,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,260.43
96989,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,25.15841
96989,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,214.13
96990,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,21.38286
96990,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,244.8
96991,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,11.17234
96991,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,179.14
96992,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,30.47271
96992,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,272.5
96993,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,18.63665
96993,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,9,229.53
96996,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,19.29747
96996,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,9,304.9
96997,CLP,Clear Petroleum S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,37.76175
96997,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,446.23
97003,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,5.421929
97003,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,66.11
97007,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,9.500305
97007,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,103.05
97008,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,1.02706
97008,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,39.74
97009,PAR,PATAGONIA RESOURCES S.A. ,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,15.73874
97009,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,114.97
97010,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,11.01157
97010,YPF,YPF S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,11,120.11
97012,ROC,ROCH S.A.,GOLFO SAN JORGE,Santa Cruz,bajo barreal,CONVENCIONAL,1,9.494143
